NodeNumber,xDisp,yDisp,zDisp
2023483,4.2194019e+02,-6.6240021e+01,-9.8699982e+01
2023484,4.2195996e+02,-6.6619995e+01,-9.6049988e+01
2023485,4.2561011e+02,-6.1049988e+01,-9.2239990e+01
2023486,4.2772974e+02,-5.8589996e+01,-9.0540009e+01
2023487,4.3014990e+02,-5.3669983e+01,-8.6739960e+01
2023488,4.3420972e+02,-4.9980011e+01,-8.4349976e+01
2023489,4.3905005e+02,-4.3690002e+01,-7.9579987e+01
2023490,4.4433008e+02,-4.0149994e+01,-7.6410004e+01
2023491,4.4876001e+02,-3.4709991e+01,-7.1809998e+01
2023492,4.5342993e+02,-3.1089996e+01,-6.8309967e+01
2023493,4.1937988e+02,-6.5190002e+01,-9.7260010e+01
2023494,4.2425000e+02,-5.9730011e+01,-9.2670013e+01
2023495,4.2574976e+02,-5.7950012e+01,-9.1139984e+01
2023496,4.2867993e+02,-5.2839996e+01,-8.6979980e+01
2023497,4.3345996e+02,-4.7769989e+01,-8.4009979e+01
2023498,4.3903979e+02,-4.0679993e+01,-7.8900024e+01
2023499,4.4396021e+02,-3.6860016e+01,-7.6239990e+01
2023500,4.4718018e+02,-3.1459991e+01,-7.1959991e+01
2023501,4.5131982e+02,-2.8239990e+01,-6.9079987e+01
2023502,4.5471021e+02,-2.3450012e+01,-6.5000000e+01
2023503,4.2413989e+02,-5.6029999e+01,-9.2019989e+01
2023504,4.2682983e+02,-5.3109985e+01,-8.9300018e+01
2023505,4.3061987e+02,-4.8269989e+01,-8.5199982e+01
2023506,4.3328979e+02,-4.6100006e+01,-8.3309998e+01
2023507,4.3829004e+02,-4.0020020e+01,-7.8979980e+01
2023508,4.4239014e+02,-3.4970001e+01,-7.7419983e+01
2023509,4.4490991e+02,-3.0260010e+01,-7.2470001e+01
2023510,4.4795996e+02,-2.7709991e+01,-7.0380005e+01
2023511,4.5070996e+02,-2.2559998e+01,-6.6410004e+01
2023512,4.5236987e+02,-2.1910004e+01,-6.3609985e+01
2023513,3.3804004e+02,-4.6200012e+01,-1.0270999e+02
2023514,3.7617969e+02,-4.2940002e+01,-1.0149002e+02
2023515,4.0391992e+02,-5.0980011e+01,-1.0064001e+02
2023516,4.1977002e+02,-6.2880005e+01,-1.0051999e+02
2023517,3.4164014e+02,-4.0690002e+01,-1.0170001e+02
2023518,3.7595996e+02,-4.5070007e+01,-1.0160999e+02
2023519,4.1177979e+02,-5.0199982e+01,-9.9750000e+01
2023520,4.1944971e+02,-6.8010010e+01,-1.0117999e+02
2023521,3.4256006e+02,-3.6180023e+01,-1.0070999e+02
2023522,3.8372998e+02,-3.7799988e+01,-9.9309998e+01
2023523,4.1368018e+02,-5.2779999e+01,-1.0170999e+02
2023524,4.1743994e+02,-6.3179993e+01,-9.9229980e+01
2023525,2.6481006e+02,2.9239990e+01,-6.7970001e+01
2023526,2.6378027e+02,3.5549988e+01,-5.9410004e+01
2023527,2.5306006e+02,4.8350006e+01,-5.8329987e+01
2023528,2.2878027e+02,4.1559998e+01,-6.0569977e+01
2023529,2.4550000e+02,5.2660004e+01,-5.5250000e+01
2023530,2.4379980e+02,6.0339996e+01,-4.5450012e+01
2023531,2.7158008e+02,2.1989990e+01,-6.4209991e+01
2023532,2.7299023e+02,1.7669983e+01,-7.1509979e+01
2023533,2.7929004e+02,1.2329987e+01,-6.4329987e+01
2023534,2.7997998e+02,4.9100037e+00,-7.2940002e+01
2023535,2.8208008e+02,-2.8000183e+00,-8.3029999e+01
2023536,2.8660010e+02,9.3500061e+00,-7.7369995e+01
2023537,3.8731006e+02,-3.5149994e+01,-8.9950012e+01
2023538,3.9019995e+02,-3.8869995e+01,-8.3880005e+01
2023539,3.9761987e+02,-3.5779999e+01,-7.4350006e+01
2023540,4.0460986e+02,-3.3329987e+01,-6.9169983e+01
2023541,4.0958984e+02,-3.1279999e+01,-6.4919983e+01
2023542,4.1309985e+02,-3.1459991e+01,-5.9300018e+01
2023543,4.1558008e+02,-3.0960022e+01,-5.6949982e+01
2023544,4.1772998e+02,-3.1100006e+01,-5.1920013e+01
2023545,4.2181006e+02,-3.0139984e+01,-4.6880005e+01
2023546,4.2536987e+02,-3.1320007e+01,-4.0359985e+01
2023547,3.7953003e+02,-3.8459991e+01,-9.1830017e+01
2023548,3.8984009e+02,-3.7059998e+01,-8.0829987e+01
2023549,4.0698999e+02,-3.6700012e+01,-6.9420013e+01
2023550,4.1316016e+02,-3.3190002e+01,-6.2009979e+01
2023551,4.1562012e+02,-3.1880005e+01,-5.8230011e+01
2023552,4.1913989e+02,-3.2529999e+01,-5.2959991e+01
2023553,4.1926001e+02,-3.1799988e+01,-5.0430023e+01
2023554,4.2147021e+02,-3.1250000e+01,-4.8230011e+01
2023555,4.2327026e+02,-3.1100006e+01,-4.3760010e+01
2023556,4.2710010e+02,-3.1070007e+01,-3.8399994e+01
2023557,3.7213013e+02,-4.0179993e+01,-9.2569977e+01
2023558,3.8497021e+02,-3.9200012e+01,-8.1049988e+01
2023559,4.0266992e+02,-3.6220001e+01,-6.8930023e+01
2023560,4.1877026e+02,-3.4420013e+01,-5.6940002e+01
2023561,4.2123022e+02,-3.3200012e+01,-5.3250000e+01
2023562,4.2081982e+02,-3.2940002e+01,-4.9559998e+01
2023563,4.2254004e+02,-3.2179993e+01,-4.8199982e+01
2023564,4.2342993e+02,-3.1689972e+01,-4.4970001e+01
2023565,4.2606982e+02,-3.1559998e+01,-4.1739990e+01
2023566,4.2859985e+02,-3.1269989e+01,-3.6709991e+01
2023567,3.6803979e+02,-4.0019989e+01,-9.4159973e+01
2023568,3.8322021e+02,-3.9929993e+01,-8.2470001e+01
2023569,3.9917993e+02,-3.7300018e+01,-7.1160004e+01
2023570,4.1415991e+02,-3.4379974e+01,-6.2010010e+01
2023571,4.2134985e+02,-3.4139984e+01,-5.1320007e+01
2023572,4.2276001e+02,-3.3220001e+01,-5.0269989e+01
2023573,4.2298999e+02,-3.2160004e+01,-4.7440002e+01
2023574,4.2445020e+02,-3.1950012e+01,-4.5489990e+01
2023575,4.2694995e+02,-3.1500000e+01,-4.0839996e+01
2023576,4.2992017e+02,-3.1529999e+01,-3.7019989e+01
2023577,3.9019019e+02,-3.6679993e+01,-9.0450012e+01
2023578,3.9417993e+02,-3.9309998e+01,-8.4750000e+01
2023579,3.9899023e+02,-3.9550018e+01,-7.7779999e+01
2023580,4.0376978e+02,-3.7550018e+01,-7.2949982e+01
2023581,4.0918018e+02,-3.4579987e+01,-6.7790009e+01
2023582,4.1183984e+02,-3.6790009e+01,-6.3649994e+01
2023583,4.1614990e+02,-3.2980011e+01,-5.7869995e+01
