NodeNumber,xDisp,yDisp,zDisp
2023483,4.3007983e+02,-8.4580017e+01,-1.1104999e+02
2023484,4.3377979e+02,-8.1449997e+01,-1.0631000e+02
2023485,4.3640015e+02,-7.8500000e+01,-1.0287000e+02
2023486,4.4090991e+02,-7.4500000e+01,-9.8940002e+01
2023487,4.4379980e+02,-7.0149994e+01,-9.4939972e+01
2023488,4.4878003e+02,-6.6760010e+01,-9.1329987e+01
2023489,4.5276978e+02,-6.2089996e+01,-8.6659973e+01
2023490,4.5770020e+02,-5.9109985e+01,-8.2339996e+01
2023491,4.6140991e+02,-5.5279999e+01,-7.7740021e+01
2023492,4.6565015e+02,-5.2470001e+01,-7.3249969e+01
2023493,4.2558008e+02,-8.3849991e+01,-1.0858002e+02
2023494,4.3172021e+02,-7.8140015e+01,-1.0413000e+02
2023495,4.3678003e+02,-7.3140015e+01,-9.9630005e+01
2023496,4.4117017e+02,-6.8089996e+01,-9.5109985e+01
2023497,4.4644971e+02,-6.3510010e+01,-9.1049988e+01
2023498,4.5055981e+02,-5.8109985e+01,-8.6220001e+01
2023499,4.5532983e+02,-5.4950012e+01,-8.2539978e+01
2023500,4.5854004e+02,-5.0929993e+01,-7.7980011e+01
2023501,4.6233984e+02,-4.8440002e+01,-7.4160004e+01
2023502,4.6578003e+02,-4.4859985e+01,-6.9800018e+01
2023503,4.2798022e+02,-7.6230011e+01,-1.0500998e+02
2023504,4.3267017e+02,-7.1949982e+01,-1.0029001e+02
2023505,4.3780981e+02,-6.6850006e+01,-9.6269989e+01
2023506,4.4288013e+02,-6.2220001e+01,-9.1690002e+01
2023507,4.4645020e+02,-5.7390015e+01,-8.6880005e+01
2023508,4.5093018e+02,-5.3240021e+01,-8.4190002e+01
2023509,4.5371997e+02,-4.9420013e+01,-7.8790009e+01
2023510,4.5722998e+02,-4.7139984e+01,-7.5609985e+01
2023511,4.5997021e+02,-4.3759979e+01,-7.1350006e+01
2023512,4.6254028e+02,-4.2730011e+01,-6.7660004e+01
2023513,3.4062988e+02,-6.9360016e+01,-1.1419998e+02
2023514,3.7817969e+02,-6.5130005e+01,-1.1873001e+02
2023515,4.0945996e+02,-6.7720001e+01,-1.1922000e+02
