NodeNumber,xPos,yPos,zPos
2023483,4.0921599e+03,3.2310001e+02,4.8719998e+02
2023484,4.0795200e+03,3.2401999e+02,4.9363998e+02
2023485,4.0668899e+03,3.2495999e+02,5.0007999e+02
2023486,4.0542600e+03,3.2589999e+02,5.0651999e+02
2023487,4.0416299e+03,3.2685999e+02,5.1295996e+02
2023488,4.0289900e+03,3.2782001e+02,5.1940997e+02
2023489,4.0160100e+03,3.3101999e+02,5.2389996e+02
2023490,4.0028999e+03,3.3497998e+02,5.2772998e+02
2023491,3.9898098e+03,3.3892999e+02,5.3156000e+02
2023492,3.9767000e+03,3.4289999e+02,5.3539996e+02
2023493,4.0863999e+03,3.2926999e+02,4.6991000e+02
2023494,4.0737998e+03,3.3041000e+02,4.7597000e+02
2023495,4.0612000e+03,3.3156000e+02,4.8201999e+02
2023496,4.0485999e+03,3.3272000e+02,4.8807999e+02
2023497,4.0360000e+03,3.3389999e+02,4.9413998e+02
2023498,4.0234099e+03,3.3507999e+02,5.0019000e+02
2023499,4.0106199e+03,3.3747000e+02,5.0525998e+02
2023500,3.9977998e+03,3.4029999e+02,5.0995999e+02
2023501,3.9849600e+03,3.4314999e+02,5.1466998e+02
2023502,3.9721399e+03,3.4598999e+02,5.1937000e+02
2023503,4.0806399e+03,3.3545999e+02,4.5263998e+02
2023504,4.0680798e+03,3.3682999e+02,4.5831000e+02
2023505,4.0555100e+03,3.3820999e+02,4.6397998e+02
2023506,4.0429500e+03,3.3960001e+02,4.6966000e+02
2023507,4.0303999e+03,3.4100000e+02,4.7532999e+02
2023508,4.0178398e+03,3.4241000e+02,4.8100998e+02
2023509,4.0052800e+03,3.4403000e+02,4.8660999e+02
2023510,3.9927100e+03,3.4573999e+02,4.9219998e+02
2023511,3.9801499e+03,3.4744998e+02,4.9778000e+02
2023512,3.9675798e+03,3.4917999e+02,5.0335999e+02
2023513,4.1609399e+03,3.4685001e+02,4.6551999e+02
2023514,4.1435400e+03,3.3994000e+02,4.7150000e+02
2023515,4.1262900e+03,3.3339999e+02,4.7522000e+02
2023516,4.1091997e+03,3.2825000e+02,4.8120999e+02
2023517,4.1615000e+03,3.4637000e+02,4.4913000e+02
2023518,4.1426899e+03,3.3881000e+02,4.5250998e+02
2023519,4.1240400e+03,3.3282999e+02,4.5600000e+02
2023520,4.1052100e+03,3.3106000e+02,4.6295999e+02
2023521,4.1620801e+03,3.4588000e+02,4.3225998e+02
2023522,4.1418501e+03,3.3766998e+02,4.3348999e+02
2023523,4.1214097e+03,3.3278000e+02,4.3697998e+02
2023524,4.1010200e+03,3.3410999e+02,4.4479999e+02
2023525,4.2912300e+03,3.5039999e+02,4.3738998e+02
2023526,4.2932197e+03,3.5020999e+02,4.2159000e+02
2023527,4.2952100e+03,3.5028000e+02,4.0579999e+02
